This is Ultimate 0.1.23-3204b74
[2018-10-30 21:35:39,540 INFO  L107             Complement]: Finished complement. Result 340 states and 7820 transitions.
[2018-10-30 21:35:39,541 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,541 INFO  L77               Intersect]: Start intersect. First operand 607 states and 654 transitions. Second operand 340 states and 7820 transitions.
[2018-10-30 21:35:39,547 INFO  L84               Intersect]: Finished intersect. Result 639 states and 688 transitions.
[2018-10-30 21:35:39,547 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,548 INFO  L101             Complement]: Start complement. Operand 8 states.
[2018-10-30 21:35:39,548 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:39,550 INFO  L107             Complement]: Finished complement. Result 13 states and 299 transitions.
[2018-10-30 21:35:39,551 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,551 INFO  L77               Intersect]: Start intersect. First operand 639 states and 688 transitions. Second operand 13 states and 299 transitions.
[2018-10-30 21:35:39,560 INFO  L84               Intersect]: Finished intersect. Result 985 states and 1067 transitions.
[2018-10-30 21:35:39,560 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,563 INFO  L276                IsEmpty]: Start isEmpty. Operand 985 states and 1067 transitions.
[2018-10-30 21:35:39,573 INFO  L282                IsEmpty]: Finished isEmpty. No accepting run.
[2018-10-30 21:35:39,574 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,574 INFO  L1008   TestFileInterpreter]: Printing isEmpty(nfa_19)
[2018-10-30 21:35:39,578 INFO  L1008   TestFileInterpreter]: true
[2018-10-30 21:35:39,579 INFO  L918    TestFileInterpreter]: ----------------- Test Summary -----------------
[2018-10-30 21:35:39,580 INFO  L1008   TestFileInterpreter]:  You have not used any assert statement in your automata script. Assert statements can be used to check Boolean results.
[2018-10-30 21:35:39,590 INFO  L202        PluginConnector]: Adding new model apna_ats.ats de.uni_freiburg.informatik.ultimate.plugins.generator.automatascriptinterpreter AST 30.10 09:35:39 AutomatonState
[2018-10-30 21:35:39,591 INFO  L132        PluginConnector]: ------------------------ END AutomataScriptInterpreter----------------------------
[2018-10-30 21:35:39,593 INFO  L168              Benchmark]: Toolchain (without parser) took 2168.63 ms. Allocated memory is still 514.9 MB. Free memory was 465.2 MB in the beginning and 403.0 MB in the end (delta: 62.2 MB). Peak memory consumption was 171.8 MB. Max. memory is 11.5 GB.
[2018-10-30 21:35:39,600 INFO  L168              Benchmark]: AutomataScriptParser took 4.37 ms. Allocated memory is still 514.9 MB. Free memory is still 480.0 MB. There was no memory consumed. Max. memory is 11.5 GB.
[2018-10-30 21:35:39,602 INFO  L168              Benchmark]: AutomataScriptInterpreter took 2164.95 ms. Allocated memory is still 514.9 MB. Free memory was 465.2 MB in the beginning and 403.0 MB in the end (delta: 62.2 MB). Peak memory consumption was 171.8 MB. Max. memory is 11.5 GB.
[2018-10-30 21:35:39,605 INFO  L344   ainManager$Toolchain]: #######################  End [Toolchain 1] #######################
 --- Results ---
 * Results from de.uni_freiburg.informatik.ultimate.core:
  - StatisticsResult: Toolchain Benchmarks
    Benchmark results are:
 * AutomataScriptParser took 4.37 ms. Allocated memory is still 514.9 MB. Free memory is still 480.0 MB. There was no memory consumed. Max. memory is 11.5 GB.
 * AutomataScriptInterpreter took 2164.95 ms. Allocated memory is still 514.9 MB. Free memory was 465.2 MB in the beginning and 403.0 MB in the end (delta: 62.2 MB). Peak memory consumption was 171.8 MB. Max. memory is 11.5 GB.
 * Results from de.uni_freiburg.informatik.ultimate.plugins.generator.automatascriptinterpreter:
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_1), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=66}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_0, complement(fha_1)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=8}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_2), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=14}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_1, complement(fha_2)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=11}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_3), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=6}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_2, complement(fha_3)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=7}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_4), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=40}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_3, complement(fha_4)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=14}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_5), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=31}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_4, complement(fha_5)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=8}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=complement(fha_6), OPERATION_NAME=complement, RUNTIME_TOTAL_MS=61}
  - StatisticsResult: automata script interpreter benchmark results
    {ATS_ID=intersect(nfa_5, complement(fha_6)), OPERATION_NAME=intersect, RUNTIME_TOTAL_MS=7}
